Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,000010c0,0069006900690069006900690069006900690069006900690069006900690069,0066006600660066006600660066006600660066006600660066006600660066,0,1,1,0,0,1,0,1
1,1,0,1,0000000000000000000000000000000000000000000000000000000000000000,000010c0,006a006a006a006a006a006a006a006a006a006a006a006a006a006a006a006a,0069006900690069006900690069006900690069006900690069006900690069,0,1,1,0,0,1,0,1
2,2,0,1,0000000000000000000000000000000000000000000000000000000000000000,000010c0,006b006b006b006b006b006b006b006b006b006b006b006b006b006b006b006b,006a006a006a006a006a006a006a006a006a006a006a006a006a006a006a006a,0,1,1,1,0,1,0,1
3,3,0,1,0000000000000000000000000000000000000000000000000000000000000000,000010e0,006c006c006c006c006c006c006c006c006c006c006c006c006c006c006c006c,006b006b006b006b006b006b006b006b006b006b006b006b006b006b006b006b,1,1,1,1,0,1,0,1
4,4,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001100,006d006d006d006d006d006d006d006d006d006d006d006d006d006d006d006d,006c006c006c006c006c006c006c006c006c006c006c006c006c006c006c006c,1,1,1,1,0,1,0,1
5,5,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001120,006e006e006e006e006e006e006e006e006e006e006e006e006e006e006e006e,006d006d006d006d006d006d006d006d006d006d006d006d006d006d006d006d,1,1,1,1,0,1,0,1
6,6,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001140,006f006f006f006f006f006f006f006f006f006f006f006f006f006f006f006f,006e006e006e006e006e006e006e006e006e006e006e006e006e006e006e006e,1,1,1,1,0,1,0,1
7,7,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001160,0070007000700070007000700070007000700070007000700070007000700070,006f006f006f006f006f006f006f006f006f006f006f006f006f006f006f006f,1,1,1,1,0,1,0,1
8,8,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001180,0071007100710071007100710071007100710071007100710071007100710071,0070007000700070007000700070007000700070007000700070007000700070,1,1,1,1,0,1,0,1
